"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.032,90,"nach oben","nach unten",0,-0.898466468299,5.77402542741,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.992217898833,3.86609048479,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.273456931411,4.13267121928,2,2,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.296894789044,3.45751153203,2,2,7
"w",23,0.128,90,"nach oben","nach oben",1,0.460318913558,2.33256490547,4,2,7
"w",23,0.128,270,"nach unten","nach unten",1,0.793636987869,3.05750537263,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,0.880949111162,2.28249636611,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.28249604531,5,3,7
"w",23,0.256,90,"nach oben","nach oben",1,0.984100099184,2.66590326471,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.44089558952,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,0.920622568093,3.17432447909,5,3,7
"w",23,0.016,270,"nach unten","nach unten",1,-1.52590218967e-05,3.14083948124,3,2,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.0703288319219,2.33258158718,3,2,7
"w",23,0.128,270,"nach unten","nach unten",1,0.904753185321,2.8908807845,5,3,7
"w",23,0.032,270,"nach unten","nach oben",0,-0.531273365377,5.5990423417,2,2,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,6.78250550897,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,4.69908414221,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,6.79893025346,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.103166247044,2.80777444536,3,2,7
"w",23,0.128,270,"nach unten","nach unten",1,0.428580148013,3.45751185283,4,2,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,9.6904555293,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.549201251,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,0.666651407645,3.09086589929,5,3,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.43262082127,5,3,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.570336461433,3.43243154806,2,2,7
"w",23,0.064,270,"nach unten","nach unten",1,0.00794995040818,3.39917624448,3,2,7
"w",23,0.256,90,"nach oben","nach oben",1,0.642847333486,2.40758992001,5,3,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.851590753033,3.55755750297,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,3.6327214248,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.835965514611,4.53266967943,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.765651941711,6.30721737259,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,6.15733319817,1,1,7
